Guild Members; Alex; Alligume; Belette Manon; Ben; BobLeBot; Boby Leymard; Cine; Codex2151; DaleX; Dark Nash; DarkDigger; Daïdhara; Deadline; Din Djarin; Domotikator; El fifi; Fenwicks; Findeath; GuigzZ; Heavo24; Jaarael; Kaa76; Kaïpan; Kobalt; Korto Vos; Luffy saitama; Lumpouille; Malachor V; Mol Issou; Nightmarr; Nuke; Obi Dam Nabira; ObiWanPeace; ObiWanPeach; Obiwan18; Peldor Varga; Popi le terrible; Pouhpou; Revanche Gilder; Skicker; Snorlax; valkorion; Varr; Virance; Von Barbiche; Whills Wotan; Wébélu; Xilebo; dark sid
Boba Fett; 61683; 59854; 65938; 51879; 12536; 49662; 53150; 18833; 50870; 56060; 52709; 52775; 54036; 65611; 59366; 54215; 52182; 54389; 57249; 56583; 38712; 60083; 55725; 58507; 57984; 52058; 51656; 16448; 61809; 56107; 50218; 67727; 60210; 54307; 63171; 58129; 61902; 51086; 50242; 53930; 55485; 51812; 53789; 51726; 50166; 63880; 51311; 50102; 52709
Dengar; 53461; 68483; 51507; 55047; ; 58244; 48323; 28877; 49601; 48936; 48906; 51581; 57431; 48378; 55967; 49664; 59549; 48081; 46980; 50400; 34820; 57211; 61707; 36890; 49301; 49156; 48209; 29559; 53865; 59077; 48848; 46980; 52456; 55944; 51453; 48874; 52867; 48914; 63675; 54201; 64257; 48702; 48881; 48069; 50936; 48535; 50445; 50351; 48906
Krrsantan; 23787; 19376; 5629; 84792; ; 66078; 82985; ; 12986; 6620; 87997; 623; 28955; 67671; 15505; 15350; 10237; 17569; 81883; 623; ; 641; 659; 93452; 641; 90500; ; 623; 13285; 33637; 80331; 641; ; ; ; 641; ; 15181; 16668; 641; 79108; 605; 641; 659; ; 88467; 10553; 641; 87997
Zam Wesell; 8568; 68106; 19746; 9637; ; 558; 55017; 12865; 57643; 57155; 75724; 558; 20721; 34462; 64295; 25938; 61200; 43805; 24599; 558; 558; 10446; 57117; 21737; 56023; 21657; 57194; 558; 15959; 59581; 19898; 22574; 19783; 558; 31475; 10991; 558; 22732; 21930; 11542; 57428; 540; 8568; 56626; 36897; 21588; 58182; 54621; 75724
Boushh (Leia Organa); 21241; 29795; 12583; 75299; ; 59429; 59611; 479; 10211; 6293; 59752; 479; 22581; 74368; 66325; 67470; 43310; 9749; 67100; 515; ; 479; 533; 66679; 533; 87876; ; 515; 12707; 533; 59646; 515; ; ; ; 515; 515; 533; 22694; 12423; 63813; 479; 8253; 515; ; 68999; 19735; 515; 59752
Eighth Brother; 8261; 52985; 49880; 57796; ; 61354; 65160; 58239; 39512; 51760; 48872; 13617; 54015; 16296; 57341; 64975; 74897; 10553; 61627; 54243; 45559; 58051; 46477; 68168; 61768; 58899; 54321; 12393; 8993; 66638; 56916; 47700; 55595; 47621; 48386; 443; 60634; 60593; 69244; 19621; 53047; 55795; 11993; 55604; 55371; 62807; 55271; 57244; 48872
Greedo; 12318; 31982; 16772; 47933; ; 31119; 46261; 12496; 39864; 16170; 52567; 14217; 34021; 48103; 48879; 11219; 34281; 50430; 50714; 3313; 19144; 12397; 11814; 49221; 49418; 48327; 29604; 541; 10677; 16924; 46557; 10677; 12330; 12032; 14212; 21703; 13481; 16019; 10677; 16853; 45807; 13649; 10641; 16779; 19509; 49271; 21184; 27127; 52567
Second Sister; 7839; 60940; 73687; 56199; ; 59100; 73659; 62144; 25913; 66212; 70390; 17507; 71721; 25032; 69620; 69490; 96418; 19567; 65528; 66876; 55819; 65956; 62509; 62235; 64683; 56561; 63032; 21794; 13890; 68336; 65008; 63897; 58600; 50099; 72545; 515; 71507; 72941; 73624; 51886; 64876; 63010; 20086; 60506; 64583; 65715; 74054; 69096; 70390
Boba Fett, Scion of Jango; ; 70238; ; 804; ; 58595; 70670; ; ; 46606; 9784; ; ; 62661; 28578; ; 53598; 53685; ; ; ; 22608; 16438; 73613; 23758; ; ; ; ; 21576; 29662; ; 10685; ; 60299; ; ; 804; 8976; ; 58533; 61863; ; 58956; ; ; 804; 31699; 9784
Count Dooku; 57498; 72198; 41395; 50932; 12541; 20441; 58871; 12930; 58754; 65617; 66589; 14990; 41616; 17462; 60149; 50825; 64698; 51955; 57369; 55302; 54509; 60321; 61746; 20207; 59634; 17822; 60813; 20108; 54344; 56762; 53924; 70452; 54624; 18589; 50576; 56391; 52658; 56603; 52504; 20037; 64908; 2259; 52848; 61209; 67310; 45836; 68370; 55433; 66589
CT-7567 "Rex"; 48046; 61754; 57020; 75176; ; 53857; 62642; 69217; 63745; 59605; 60197; 60218; 44147; 54257; 81243; 72847; 59371; 17003; 62988; 66877; 44147; 71817; 66300; 76399; 49066; 50805; 52399; 62323; 61151; 54200; 65867; 77606; 57639; 54398; 55625; 40956; 62285; 57082; 64377; 56413; 75711; 66249; 54298; 51830; 52914; 64359; 53723; 63541; 60197
Darth Sion; 67998; 41647; 61509; 55505; ; 51269; 89807; 7144; 51423; 45053; 30319; 16375; 57037; 47272; 59544; 53729; 63672; 77603; 70885; 33587; 51371; 54664; 49267; 35019; 35463; 47314; 50002; 92272; 55956; 41769; 60856; 57139; 44349; 794; 33954; 24057; 37301; 59525; 53697; 29551; 61803; 57479; 52266; 63560; 61595; 57881; 44545; 41326; 30319
Dash Rendar; 8315; 16867; 5360; 54844; ; 60901; 60921; 52661; 8650; 62485; 65106; 15634; 66119; 22207; 68945; 14136; 67175; 10244; 475; 13032; 6197; 53632; 65560; 16747; 14384; 16468; 54121; 57013; 58222; 56133; 55947; 57335; 19880; ; 493; 511; 58807; 18640; 67321; 53982; 66543; 4836; 57981; 70255; ; 66940; 63532; 61943; 65106
Fennec Shand; 6017; 77367; 4686; 58883; ; 20866; 64405; ; 9984; 7716; 66986; 7565; 45293; 68839; 20193; 18475; 68831; 70412; 54823; 725; ; 707; 43235; 60472; 53792; 77931; 761; 761; 64217; 743; 69957; 707; 761; 12843; 707; 743; 707; 12763; 51909; 19536; 67456; 75421; 9797; 18379; ; 71839; 707; 743; 66986
General Hux; 63896; 85523; 14954; 69937; ; 62851; 87367; 62071; 17534; 5424; 68950; 59474; 61156; 66268; 62489; 15333; 83320; 56809; 58116; 64218; 56809; 58947; 58820; 70825; 65812; 72797; 23195; 76188; 57060; 66167; 59019; 553; 56809; 60565; 68292; 80777; 59109; 79894; 64249; 68114; 68180; 79221; 74122; 58603; 535; 59496; 535; 553; 68950
IG-88; 43899; 62301; 52578; 56057; ; 59706; 57119; 14259; 54440; 49796; 50819; 48883; 49817; 51467; 68338; 63981; 56956; 49648; 58186; 54776; 41425; 51679; 65982; 32926; 51934; 48727; 51752; 13545; 51939; 63397; 54536; 50415; 53690; 52404; 57576; 48873; 52390; 51499; 49834; 52455; 49418; 70080; 49485; 54942; 55418; 56329; 48885; 51281; 50819
Jolee Bindo; 58288; 23438; 113482; 33815; ; 45508; 100902; 32170; 105195; 49370; 43270; 94839; 113859; 75614; 35227; 76858; 49525; 31274; 28718; 85467; 51965; 54495; 84100; 36025; 67151; 38413; 34789; 37314; 81240; 71505; 30526; 33611; 105396; 65252; 90820; 58147; 74742; 30786; 95226; 75510; 101134; 65377; 36240; 34827; 92131; 72653; 29125; 34589; 43270
Ki-Adi-Mundi; 17940; 18512; 19342; 776; ; 18432; 74117; 16269; 21297; 38061; 25930; ; 28214; 758; 31765; 23033; 69773; ; ; 794; ; 794; 43681; 27501; 47035; 758; ; 776; ; 31698; 19791; 794; ; ; 42293; ; 758; 812; 9992; ; 75768; 758; ; 776; 59784; 24049; 794; 794; 25930
Nute Gunray; 16955; 82989; 42642; 18090; ; 19483; 68848; 543; 72681; 74090; 79056; 55168; 57484; 16255; 75676; 51984; 62597; 543; 21192; 15294; 17769; 58923; 83692; 58932; 62165; 15205; 67012; 14653; 11035; 70407; 37071; 54944; 19507; 20479; 48698; 20797; 13602; 51737; 18262; 15360; 65869; 18139; 10603; 64956; 47528; 29866; 71928; 64066; 79056
Qi'ra; 12731; 29779; 4552; ; ; 15840; 41512; ; 13460; 8249; 13970; 550; 11210; 15135; 16268; 21465; 17345; 10680; ; 568; 12953; 2946; 550; 16242; 23296; 1234; 24183; 604; 874; 568; 12248; 568; 25766; 14595; 586; 23093; 11312; 604; 43105; 568; 604; 550; 568; 8042; 25451; 28145; 550; ; 13970
Sana Starros; 425; 425; 4546; 425; ; 425; 12901; ; 3876; 3702; 70051; 55424; 4511; 15704; ; 6384; 5553; 425; ; ; ; 425; 425; 69908; 425; ; ; 425; 14063; 425; 11485; 425; ; ; ; 425; ; 425; 5591; 425; 66690; 425; 425; 11265; ; 12830; 425; ; 70051
The Armorer; 25389; 81841; 20836; 20049; ; 15049; 79005; 13558; 20043; 17333; 38349; 22314; 21173; 42748; 42528; 30699; 23314; 78373; 65784; 18916; 62530; 623; 92166; 18559; 25687; 623; 9296; 24702; 64612; 24976; 82697; 60669; 60264; 695; 59201; 62309; 30169; 30565; 17003; 18800; 57837; 623; 75776; 21390; ; ; 677; 641; 38349
Darth Talon; 17300; 38514; 53015; 53570; ; 55048; 51819; 43012; 47981; 54209; 61194; 16776; 50175; 12699; 71366; 38806; 66129; 595; ; 5633; 38804; 50940; 58989; 10545; 25354; 18605; 53840; 55146; 50831; 47204; 57975; 61331; 18016; 613; 613; 19807; 46751; 39564; 17050; 54101; 64088; 63393; 58864; 52867; 24122; 56081; 51323; 53346; 61194
Director Krennic; 49902; 27179; 50677; 48065; ; 617; 47697; 17186; 49640; 49921; 63824; 581; 10627; 13360; 50109; 50222; 50917; 64938; 46300; 45086; 58200; 21282; 47872; 13144; 50331; ; 9334; 581; 45086; 48842; 56168; 46600; 51452; ; 51024; 53089; 53282; 52869; 49558; 617; 49303; 581; 45086; 45086; 50792; 10320; 45086; 47034; 63824
General Kenobi; 80321; 72443; 100842; 123710; ; 124601; 77263; 89171; 104933; 101043; 74117; 70883; 104624; 71947; 101064; 103841; 113527; 83889; 73170; 95578; 119354; 88057; 95983; 83924; 65432; 66322; 69196; 93476; 104325; 67453; 106246; 73898; 116146; 79890; 86026; 113588; 80283; 122116; 71009; 94279; 113522; 90377; 58052; 81030; 88435; 100482; 84767; 65989; 74117
Iden Versio; 16130; 17003; 40544; 26207; ; 14160; 26604; ; 17377; 8411; 28547; 21373; 7211; 18005; 27688; 47517; 27491; 27645; ; 479; 44866; 461; 28422; 13172; 15551; 13951; 479; 16360; 28336; 16946; 17147; 461; 461; 461; 14726; 31035; 14965; 16163; 17796; 15548; 45580; 14616; 25147; 10401; 66348; 16501; 7139; 461; 28547
Ahsoka Tano; 46162; 50575; 52097; 42034; 6493; 51217; 70110; 56764; 59043; 60966; 46960; 48656; 47459; 46624; 47846; 62732; 59985; 54151; 42743; 61077; 64974; 44802; 54833; 52255; 45404; 44459; 47789; 43567; 46799; 42917; 57876; 59800; 51782; 50765; 45758; 47114; 54486; 72563; 46098; 53719; 56801; 65958; 47273; 58900; 44196; 61369; 52844; 47709; 46960
Ahsoka Tano (Fulcrum); 13524; 14361; 13815; 650; ; 11501; 14142; 650; 14580; 13354; 34731; 45755; 8822; 30600; 23072; 21505; 11098; 5960; ; 650; 22970; 10488; ; 42004; 45480; 2306; 22122; 650; 4052; 31277; 57993; 650; 20757; ; 7086; 650; 650; 650; 11134; 20967; 650; 4088; 11134; 596; 3044; 6248; ; 650; 34731
Amilyn Holdo; 869; 24848; 7629; 82912; ; 70785; 64298; 76030; 15237; 6879; 82698; 85490; 61085; 78247; 70964; 31669; 23850; 61085; ; 87699; 61085; 84266; 61085; 84100; 69380; 65626; 29638; 84449; 61085; 77538; 67790; 82358; 64676; 61085; 81715; 23228; 77398; 97562; 20082; 80948; 114067; 80816; 61085; 82495; 11129; 82116; 6817; 49681; 82698
B1 Battle Droid; 17281; 46818; 35709; 28885; ; 39932; 36635; 37156; 38366; 41115; 33197; 33989; 30351; 38556; 38685; 35773; 36856; 30325; 41190; 28940; 34806; 37808; 35730; 32338; 36631; 32164; 35019; 36895; 36630; 42607; 33040; 36865; 34224; 33545; 36529; 32654; 37749; 33976; 33300; 30760; 31716; 32895; 13469; 34823; 38167; 35888; 36098; 32354; 33197
B2 Super Battle Droid; 51709; 67502; 54704; 25535; ; 70666; 60973; 47047; 68700; 56156; 61048; 48734; 50697; 58070; 55522; 54166; 53285; 28945; 77646; 49524; 51650; 72079; 64416; 30058; 52021; 31021; 55944; 60394; 53850; 47630; 51280; 67990; 51200; 43889; 54912; 49838; 53453; 55567; 34516; 54223; 46929; 51125; 29466; 48899; 58188; 55253; 56303; 50776; 61048
Barriss Offee; 694; 37211; 20906; 694; ; 17191; 103107; ; 27953; 16178; 39473; 694; 20379; 27989; 46801; 15466; 94989; 25457; 640; 694; 35752; 694; 12421; 27574; 38538; 14743; 694; 38146; 694; 37019; 42356; 694; 694; 37987; 694; 11116; 13800; 694; 20433; 694; 100194; 640; 40470; 694; 7126; 37449; 42560; 694; 39473
Bo-Katan Kryze; 51834; 68086; 54131; 66287; ; 48144; 54552; 54524; 54481; 51279; 52974; 7209; 45471; 19720; 53677; 15237; 54070; 5805; 55325; 497; 46401; 54239; 54387; 55130; 58957; 8238; 53882; 479; 2887; 20646; 54975; 11577; 49288; 15024; 64343; 41990; 16819; 70095; 11892; 50665; 53677; 479; 8705; 54593; 54749; 48706; 45471; 10635; 52974
Bodhi Rook; 12009; 8690; 14277; 464; ; 14090; 10997; 464; 13221; 6532; 3830; 518; 10139; 12417; 10997; 16144; 4396; 518; ; 518; 9562; 14392; 518; 8365; 8690; 518; 12440; 518; ; 518; 518; 12135; 10691; 56903; 10997; 9562; ; 518; 9562; 518; 1976; 464; 518; 464; 10871; 482; ; 518; 3830
BT-1; 6077; 659; 6285; 605; ; 623; 18855; ; 5638; 5179; 60145; 65858; 6221; 15912; ; 12913; 15141; 641; ; ; ; 623; 641; 51594; 695; ; ; 641; 659; 641; 641; 623; ; ; ; 623; 605; 623; 6077; 623; 57077; 605; 623; 15153; ; 605; 623; ; 60145
Canderous Ordo; 26939; 33970; 62125; ; ; 26806; 26690; 40142; 31945; 32242; 28064; 26038; 24230; 33173; 42406; 26400; 34313; 26071; ; 57239; 46349; 30897; 28260; 24880; 24605; 30070; 27226; 25115; 24230; 43125; 63556; 29433; 29328; 25439; 51229; 45708; 23583; 28199; 55086; 27397; 26804; 27252; 24912; 30574; 28038; 30940; 27933; 32390; 28064
Captain Han Solo; 52840; 58103; 23395; 52182; ; 52554; 55041; 55953; 62309; 42071; 85638; 49175; 41980; 59152; 70442; 52579; 41980; 55320; 53944; 22982; 42736; 60509; 54302; 55211; 51825; 56110; 49422; 56231; 49310; 58828; 51526; 58658; 57878; 59579; 63028; 24046; 57732; 56124; 63413; 49888; 51028; 63626; 602; 58823; 49657; 48375; 45883; 49008; 85638
Captain Phasma; 53458; 56397; 23477; 51425; ; 48871; 56308; 58165; 21820; 15190; 58829; 50776; 51382; 59471; 52646; 21585; 71287; 48904; 46976; 48368; 47685; 53882; 61746; 62515; 57971; 55444; 23807; 56867; 46976; 49563; 53859; 21118; 58214; 52744; 49510; 52507; 57169; 49521; 51673; 58033; 71862; 53315; 57010; 62756; 16176; 51543; 21954; 23854; 58829
Cara Dune; 23721; 29022; 23579; 21846; ; 20133; 28912; 22040; 27210; 17959; 90203; 22270; 33954; 25877; 21648; 28698; 30558; 39320; 19461; 17815; 23566; 29160; 15972; 35587; 27509; 22133; 36068; 22158; 26475; 20398; 38079; 28428; 69594; 51725; 14766; 37532; 19378; 23042; 24309; 19942; 16025; 21284; 21320; 31851; 28849; 30582; 15522; 30279; 90203
Carth Onasi; 20035; 29199; 44508; 54863; ; 23690; 21837; 45652; 19407; 18502; 17330; 47806; 20900; 47928; 24922; 19831; 24300; 20669; ; 44594; 21719; 25193; 47937; 24698; 51220; 45101; 26179; 45070; 45769; 20900; 50446; 22556; 18507; 21391; 48399; 24188; 53842; 48563; 14044; 55696; 18769; 48132; 47272; 19581; 26144; 27021; 25015; 23104; 17330
Cassian Andor; 13559; 15728; 10791; 10153; ; 15282; 63100; 13383; 13962; 6106; 74450; 602; 9930; 23386; 70207; 12763; 74569; 16938; ; 9174; 11943; 12313; 53308; 13145; 14166; 9867; 24639; 602; 9000; 12887; 12654; 52306; 17791; ; 13328; 17390; 13769; 12091; 53734; 14249; 56871; 548; 11016; 63233; 9930; 55898; 26209; 54132; 74450
CC-2224 "Cody"; 47926; 52495; 58159; 11789; ; 49642; 49371; 46275; 46661; 55646; 56265; 13089; 45664; 14253; 53200; 19447; 58901; 10122; 45969; 7222; 50288; 58004; 48299; 54363; 48140; 18519; 49179; 526; 10122; 20614; 47840; 14008; 51786; 19104; 52804; 35768; 12827; 51765; 17444; 49183; 51843; 472; 10590; 48535; 48724; 52915; 60879; 10590; 56265
Chief Chirpa; 17102; 27086; 32171; 20594; ; 22225; 45886; 16696; 20159; 48584; 50531; 18115; 14117; 36964; 52877; 23730; 27846; 18593; 14908; 26898; 25143; 25161; 23347; 46896; 21057; 48124; 30781; 20667; 18941; 19971; 23330; 24972; 21730; 19573; 30160; 32259; 17867; 17229; 14117; 19365; 19776; 20318; 17185; 15373; 26293; 15770; 22857; 31518; 50531
Clone Wars Chewbacca; 21774; 27980; 28192; 14127; 5396; 12423; 25668; 8716; 26256; 25739; 22439; 15790; 25404; 20177; 19268; 28330; 19874; 14364; 5666; 13676; 13208; 17390; 11082; 21612; 19424; 9778; 18743; 15258; 756; 34131; 9500; 20234; 28958; 14282; 11262; 23027; 9824; 17660; 17816; 20847; 8132; 10050; 756; 13946; 10834; 7590; 21590; 19766; 22439
Colonel Starck; 51328; 46928; 36608; 43418; 10756; 11895; 47217; ; 44710; 44000; 46225; 11759; 26865; 58596; 47366; 42316; 50583; 43692; 46337; 47303; 56124; 18463; 49938; 49470; 46854; 13106; 26216; 16029; 46128; 41755; 62327; 43739; 51051; 18079; 47546; 47337; 53326; 49338; 52143; 535; 44195; 13111; 40041; 49034; 42879; 20140; 50591; 42106; 46225
CT-21-0408 "Echo"; 33377; 64111; 55553; 47370; ; 54557; 64409; 56474; 62424; 51852; 63846; 50038; 54028; 49869; 60990; 63511; 53127; 21812; 57485; 57497; 53220; 58953; 59101; 54287; 63664; 53879; 59668; 50026; 45121; 58326; 62301; 53802; 50100; 49749; 54571; 41474; 62512; 54268; 62704; 50108; 66143; 55150; 21853; 57287; 51327; 64218; 54610; 52631; 63846
Dark Trooper; 16153; 15978; 9189; 47205; 617; 14993; 70834; 14088; 13416; 7741; 30341; 54611; 25533; 50582; 40580; 15868; 49206; 11759; 53711; 14427; 49941; 653; 21249; 20533; 18159; 16779; 725; 725; 59041; 725; 48590; 707; 36630; 617; 45339; 18657; 725; 62163; 17169; 14760; 57519; 3553; 23019; 29637; 617; 28297; 16899; 30847; 30341
Darth Maul; 43731; 45672; 51027; 47286; ; 11790; 54972; 9857; 52383; 54617; 85030; 553; 33387; 21299; 46900; 42912; 43560; 45399; 48172; 46109; 42358; 51790; 54931; 15112; 43350; 25467; 48084; 553; 47415; 42606; 45298; 43590; 49471; 6581; 44332; 46053; 48984; 61317; 43433; 33387; 56111; 12942; 51265; 43082; 43502; 10055; 41649; 51406; 85030
Darth Sidious; 56711; 20772; 61525; 57240; ; 12630; 60746; 10205; 65199; 55211; 71932; 549; 14923; 10691; 69266; 64477; 60117; 59962; 58467; 58197; 47218; 23716; 68132; 13427; 63907; 12907; 29673; 14829; 68322; 66116; 57518; 67696; 58720; 11285; 58076; 61595; 67734; 60983; 58346; 11024; 61198; 513; 59448; 60528; 58471; 10007; 54645; 57328; 71932
Death Trooper; 26105; 29781; 10208; 20560; ; 13607; 47151; 16105; 15062; 42490; 29922; 13300; 16464; 20196; 25978; 29550; 29391; 26764; ; 650; 57917; 12438; 53571; 34509; 650; 18321; 11485; 16010; 28877; 35838; 24842; 632; 56860; 614; 8120; 30347; 15652; 17636; 36641; 18748; 47834; 560; 16320; 17490; 47159; 25685; 29322; 31271; 29922
Droideka; 30552; 65128; 54302; 45671; ; 57504; 53741; 50885; 50381; 51484; 56250; 33923; 44117; 52836; 63588; 53539; 55720; 32947; 55420; 49183; 51191; 55153; 56487; 53712; 53482; 42555; 53059; 39931; 57235; 34659; 37254; 57731; 55266; 42723; 59672; 49428; 56285; 46371; 32044; 30923; 50917; 51234; 30921; 51865; 55323; 46212; 56288; 36134; 56250
Echo; 553; 67610; 8968; 553; ; 553; 57018; ; 48898; 58779; 69521; 535; 27415; 74592; 56545; 14527; 65581; 553; ; 535; ; 553; 56701; 23903; 56240; 589; 63931; 11940; 571; 55571; 46842; 553; 553; 553; 571; 553; 535; 589; 16234; 535; 68443; 535; 571; 52870; 20697; ; 86033; 57513; 69521
Enfys Nest; 18370; 37138; 13864; 586; ; 18168; 52686; 9707; 23980; 8146; 53181; 13474; 25231; 11220; 29896; 41380; 22812; 51387; 54375; 586; 23511; 67181; 22404; 22990; 24092; 568; 7571; 14642; 20888; 23278; 17127; 604; 24782; 23073; 27123; 25744; 16692; 17671; 48897; 12180; 57792; 2242; 11538; 12265; 22515; 41996; 10782; 23712; 53181
Ezra Bridger; 12651; 23228; 24345; 16619; ; 14839; 47209; 12945; 57831; 33316; 22119; 15449; 28666; 25059; 49206; 12956; 27998; 15237; 16380; 13586; 23240; 23844; 22446; 29960; 24892; 17164; 24937; 26567; 23274; 32629; 14685; 23694; 18250; 19260; 13855; 35080; 54759; 19954; 29506; 14353; 21994; 14288; 19196; 21331; 16238; 27391; 28413; 29649; 22119
Finn; 18436; 32691; 25611; 58645; ; 58108; 62642; 60145; 20979; 9822; 44120; 63847; 45960; 65712; 76930; 36855; 23050; 63763; ; 66286; 54672; 27943; 54672; 58850; 54672; 76640; 22809; 63373; 57466; 57803; 58528; 56330; 27268; 28549; 77732; 19942; 70968; 57516; 20998; 74685; 58685; 73630; 54672; 61786; 21328; 63505; 18462; 21828; 44120
Gamorrean Guard; 14082; 33792; 14947; 77644; ; 58529; 59541; 5446; 22137; 10501; 87358; 660; 25386; 63816; 39163; 23020; 49165; 22614; 34782; 606; ; 660; 16308; 59866; 27502; 66753; 660; 588; 606; 660; 58940; 660; 660; ; 660; 606; ; 16434; 23100; 660; 65587; 6641; 624; 21256; ; 77027; 12756; ; 87358
Gar Saxon; 17187; 25844; 12590; 689; ; 689; 41133; 5279; 20669; 21151; 5765; 10839; 17613; 19012; 29547; 23573; 24764; 689; ; 689; 19555; 17469; 13235; 17598; 22418; 2991; 25569; 689; 689; 23918; 7401; 689; 689; 671; 10821; 25626; 11705; 7851; 17523; 689; 19040; 8284; 671; 2991; 599; 7617; 689; 24142; 5765
Garazeb "Zeb" Orrelios; 17933; 21557; 26609; 22240; ; 19687; 23759; 19816; 18521; 21737; 32408; 22039; 25226; 24690; 61386; 19519; 22362; 25088; 21894; 18923; 27497; 23469; 26127; 43861; 29929; 30310; 24333; 24283; 28321; 30845; 22657; 26049; 16721; 18826; 23540; 52941; 20147; 23729; 16679; 20347; 21103; 20361; 26049; 17412; 28195; 29892; 25179; 27134; 32408
General Veers; 45334; 55067; 39823; 52187; ; 10694; 51327; 13916; 44618; 49364; 45463; 44403; 22449; 49320; 45428; 48882; 45456; 50050; 52907; 49452; 49751; 16199; 49420; 53243; 42182; 12389; 38844; 527; 48321; 50511; 56774; 47197; 45994; 17807; 44560; 51391; 42652; 59213; 47507; 13636; 48037; 3711; 45828; 46928; 45788; 20943; 43892; 48095; 45463
Han Solo; 23542; 65650; 59609; 64998; ; 66562; 68885; 55206; 57562; 57381; 57398; 55623; 56588; 67827; 66063; 60008; 55715; 69070; 73008; 58886; 63692; 57625; 54235; 60444; 62105; 71258; 52826; 60807; 58147; 52598; 68797; 58816; 50903; 50246; 61683; 22106; 50030; 60864; 56029; 47184; 65879; 59060; 11415; 65536; 53373; 73129; 63229; 57901; 57398
Hera Syndulla; 18019; 24907; 21081; 19416; ; 16065; 49570; 17393; 45202; 17182; 57787; 15213; 28480; 28590; 59159; 14306; 63335; 17350; 17820; 13962; 26481; 23373; 59137; 21260; 19944; 21911; 21994; 15183; 19586; 21281; 14849; 45558; 15216; 19044; 15621; 33684; 15434; 20628; 57243; 14178; 51178; 14847; 19944; 56177; 19768; 46977; 45956; 46500; 57787
Hunter; 640; 83873; 11239; 658; ; 658; 59781; 622; 64596; 58830; 70465; 640; 658; 68737; 72707; 22853; 65409; 658; 604; 640; ; 622; 61360; 25524; 62121; 622; 68137; 658; 658; 58502; 55849; 658; 658; ; 676; 658; 622; 694; 21791; 8709; 80540; 622; 6904; 69577; 49665; ; 87820; 62675; 70465
IG-100 MagnaGuard; 62717; 82689; 62720; 33772; 611; 67675; 77600; 90947; 79989; 61743; 70225; 67902; 85742; 65627; 81189; 78100; 76208; 33454; 73442; 70513; 67031; 67783; 70994; 59913; 58329; 45167; 59573; 60583; 80550; 46523; 79163; 80285; 76689; 61702; 82357; 58351; 68646; 78493; 34637; 76280; 60431; 72034; 33078; 78264; 65037; 78731; 72254; 73913; 70225
IG-11; 24203; 34765; 42156; 26391; ; 27117; 97621; 38952; 23196; 18412; 29464; 24522; 24731; 119182; 24762; 38281; 26653; 116954; 20491; 19423; 24702; 27032; 17259; 33199; 21177; 15291; 23912; 25438; 28261; 27919; 44405; 23375; 14689; 25670; 15815; 30126; 19557; 21928; 33692; 20655; 69533; 24877; 20001; 29983; 64863; 31180; 17529; 36668; 29464
Imperial Probe Droid; 12411; 17417; 5792; ; ; 7622; 18580; 512; 7916; 13409; 11737; 494; 530; 11323; 77083; 13575; 18436; 494; ; ; 54293; 530; 512; 14369; 56726; 494; 11508; 494; 494; 530; 494; 512; 39600; ; 8129; 10404; 512; 512; 6560; 512; 530; 494; 512; ; ; 17561; 9710; ; 11737
Jedi Knight Anakin; 85771; 75151; 54011; 85271; 11368; 39395; 86104; 50245; 70889; 73087; 62505; 54682; 63380; 57977; 64601; 60274; 73378; 60680; 64369; 75320; 67652; 63413; 70930; 68549; 76725; 21420; 58942; 63632; 74200; 77433; 58263; 61186; 73808; 65832; 67853; 94581; 79341; 58984; 83705; 57547; 65234; 77945; 88810; 63424; 82548; 75198; 62441; 72683; 62505
Juhani; 26580; 27840; 28164; 28217; ; 51101; 24763; 28216; 28773; 35775; 59567; 30561; 53185; 33012; 65484; 24631; 74778; 31341; ; 31536; 31065; 75970; 46399; 36196; 24692; 24796; 57153; 66356; 22187; 66651; 68912; 32054; 24691; 39549; 64036; 42089; 21874; 24840; 61827; 70686; 74209; 26295; 36644; 32164; 63491; 28630; 33668; 26513; 59567
K-2SO; 21031; 29302; 12044; 16885; ; 22939; 28216; 18553; 26607; 20493; 26996; 759; 20157; 35209; 63473; 20792; 66589; 23581; ; 15123; 15731; 22644; 23202; 17699; 18611; 19193; 27329; 759; 15903; 20468; 19375; 20967; 22408; 9042; 20912; 21967; 24643; 22994; 33676; 23435; 67708; 687; 17487; 30424; 21412; 34551; 23223; 56278; 26996
Kanan Jarrus; 23265; 22059; 26879; 24689; ; 20654; 31322; 26091; 32020; 23122; 28463; 28489; 36927; 37256; 89923; 24351; 25192; 25082; 23243; 21662; 35344; 23493; 39702; 61515; 89235; 42725; 29588; 23460; 24315; 29824; 27456; 30961; 19841; 21002; 25158; 36194; 20773; 35193; 34921; 23650; 23733; 30148; 23145; 25535; 32219; 72953; 33489; 33114; 28463
Kuiil; 14930; 23020; 27797; 18890; ; 22292; 66501; 57492; 19674; 18947; 27131; 27081; 20120; 70966; 17247; 25815; 20346; 54402; 20916; 16776; 19531; 19375; 16196; 23542; 16419; 26196; 17723; 17459; 19339; 19017; 24827; 26319; 22005; 19098; 14334; 17794; 20487; 13422; 27767; 14152; 56141; 14128; 16196; 17035; 25651; 26262; 17107; 27005; 27131
